,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
58,0.591,0.841,4,0,0.0304,0.0119,0.0,0.395,0.392,109.034
59,0.627,0.717,8,0,0.0376,0.017,0.0,0.261,0.561,105.05
60,0.82,0.38,0,0,0.0502,0.416,2.53e-05,0.0952,0.647,95.004
61,0.542,0.721,1,0,0.0625,0.147,0.0,0.348,0.623,149.831
62,0.313,0.845,1,1,0.0849,0.0012,0.869,0.11,0.0555,124.991
63,0.66,0.539,9,0,0.324,0.0534,0.0,0.222,0.307,109.318
64,0.573,0.276,10,1,0.0397,0.651,0.0,0.0909,0.442,81.898
65,0.341,0.659,2,1,0.0357,0.442,0.0,0.096,0.269,79.987
66,0.591,0.91,8,1,0.0882,0.00492,0.0,0.0525,0.655,135.024
67,0.672,0.594,9,1,0.0312,0.0206,6.4e-06,0.191,0.817,122.374
68,0.72,0.763,9,0,0.0523,0.406,0.0,0.18,0.742,101.965
69,0.286,0.00486,3,1,0.0381,0.994,0.839,0.0965,0.0323,72.179
70,0.529,0.445,5,1,0.0275,0.67,0.032,0.106,0.179,124.166
71,0.475,0.942,1,0,0.139,0.00141,0.0797,0.0939,0.178,80.356
72,0.76,0.479,2,1,0.0466,0.556,0.0,0.0703,0.913,89.911
73,0.492,0.712,9,0,0.691,0.564,9.1e-05,0.357,0.23,137.453
74,0.684,0.854,5,1,0.0544,0.00911,0.797,0.0796,0.517,155.044
75,0.447,0.0824,8,1,0.0608,0.994,0.912,0.154,0.154,78.169
76,0.61,0.725,8,1,0.15,0.367,0.0,0.154,0.291,146.163
77,0.46,0.256,5,1,0.0393,0.715,0.0,0.353,0.288,152.985
78,0.674,0.578,10,0,0.298,0.0518,0.0055,0.72,0.163,112.265
79,0.59,0.908,8,1,0.084,0.285,0.0,0.36,0.874,160.028
80,0.248,0.911,4,0,0.0748,4.65e-06,0.859,0.135,0.16,170.169
81,0.277,0.441,0,1,0.0364,0.285,5.35e-06,0.0763,0.135,96.848
82,0.225,0.712,5,1,0.0475,0.000954,0.526,0.1,0.0488,120.032
83,0.697,0.82,1,1,0.0575,0.0888,0.0,0.143,0.655,104.022
84,0.556,0.729,2,1,0.0662,0.531,0.148,0.15,0.786,120.004
85,0.349,0.959,10,1,0.057,2.4e-05,0.75,0.358,0.257,94.977
86,0.779,0.767,11,0,0.258,0.00214,0.0,0.102,0.523,91.981
87,0.736,0.604,1,0,0.222,0.0652,6.43e-05,0.124,0.574,155.007
88,0.348,0.717,4,1,0.0882,0.311,0.0,0.0786,0.28,66.21
89,0.542,0.498,7,1,0.0405,0.918,1.69e-06,0.217,0.817,94.899
90,0.309,0.0432,0,1,0.0542,0.995,0.951,0.0752,0.102,74.74
91,0.689,0.377,1,1,0.0397,0.285,0.0,0.268,0.294,143.946
92,0.158,0.957,10,0,0.113,9.36e-05,0.122,0.971,0.213,181.493
93,0.65,0.782,8,1,0.0721,0.295,0.0,0.107,0.944,171.988
94,0.574,0.329,1,1,0.0274,0.22,0.0,0.0986,0.356,130.993
95,0.936,0.559,7,0,0.157,0.479,0.0,0.128,0.527,112.347
96,0.658,0.591,9,1,0.0309,0.00959,5.27e-06,0.325,0.326,114.078
97,0.884,0.698,0,1,0.364,0.0405,0.0,0.195,0.575,140.068
98,0.62,0.971,1,1,0.0616,0.000644,0.78,0.177,0.483,134.988
99,0.727,0.937,11,0,0.287,0.00417,0.0,0.091,0.749,132.067
100,0.706,0.358,6,1,0.0348,0.677,0.0,0.107,0.478,75.991
101,0.646,0.781,1,1,0.0313,0.208,0.0,0.125,0.565,94.975
102,0.622,0.932,11,0,0.0498,0.105,2.37e-06,0.328,0.519,108.051
103,0.798,0.629,11,0,0.0735,0.00474,2.17e-05,0.324,0.4,130.0
104,0.28,0.9,3,0,0.0554,0.000106,1.07e-06,0.474,0.49,95.092
105,0.707,0.474,2,1,0.0431,0.0429,0.0,0.0546,0.715,113.654
106,0.649,0.453,6,1,0.085,0.627,0.0,0.116,0.431,99.183
107,0.505,0.61,11,1,0.0446,0.00663,1.99e-06,0.104,0.273,147.896
108,0.592,0.747,8,0,0.135,0.0181,0.0,0.0752,0.704,83.929
109,0.364,0.503,6,1,0.346,0.406,0.9,0.122,0.422,95.718
110,0.594,0.637,9,0,0.0826,0.0641,0.0,0.0856,0.268,88.817
111,0.747,0.524,10,0,0.245,0.0306,0.0,0.2,0.363,140.053
112,0.36,0.907,2,1,0.0949,0.000587,0.0,0.183,0.277,139.949
113,0.56,0.927,7,1,0.0466,0.00269,6.67e-05,0.0888,0.459,110.063
114,0.516,0.958,9,0,0.128,0.00672,0.0342,0.0679,0.484,104.717
115,0.488,0.51,7,1,0.026,0.0233,0.15,0.143,0.368,104.959
116,0.787,0.666,11,1,0.0485,0.0409,1.91e-05,0.296,0.485,140.008
117,0.749,0.925,10,1,0.227,0.241,0.0,0.52,0.641,86.989
118,0.165,0.977,1,1,0.133,5.52e-05,0.54,0.879,0.0522,96.78
119,0.478,0.906,0,0,0.0419,0.0962,0.919,0.115,0.59,140.021
120,0.755,0.615,4,1,0.0454,0.00587,1.75e-06,0.109,0.039,105.955
121,0.848,0.595,0,1,0.251,0.0554,2.64e-06,0.11,0.473,140.002
122,0.521,0.831,7,1,0.0638,0.000389,0.00123,0.0992,0.261,130.032
123,0.457,0.938,3,1,0.0836,0.00391,9.94e-06,0.145,0.467,136.072
124,0.552,0.893,0,1,0.0383,0.0158,0.0,0.105,0.777,163.948
125,0.9,0.806,1,1,0.246,0.159,0.00971,0.0811,0.671,123.038
126,0.524,0.879,1,1,0.0972,0.000204,0.0,0.134,0.61,96.039
127,0.507,0.833,9,1,0.0603,0.007,0.157,0.0808,0.198,127.611
128,0.557,0.406,4,1,0.0278,0.742,0.0,0.113,0.222,131.96
129,0.639,0.452,4,1,0.0966,0.242,0.0611,0.12,0.469,78.999
130,0.762,0.508,3,1,0.0919,0.0584,0.00126,0.16,0.37,93.51
131,0.717,0.862,8,1,0.054,0.00689,0.0,0.321,0.52,130.021
132,0.468,0.19,4,1,0.0373,0.919,0.0,0.107,0.326,125.319
133,0.487,0.915,7,1,0.0331,0.000278,1.4e-05,0.372,0.548,93.966
134,0.408,0.175,2,0,0.0516,0.945,0.895,0.125,0.845,102.155
135,0.511,0.728,11,0,0.037,2.52e-05,7.41e-05,0.0725,0.541,138.179
136,0.675,0.534,2,0,0.0831,0.0594,8.59e-06,0.256,0.156,145.08
137,0.869,0.385,4,1,0.297,0.135,0.0,0.0931,0.596,149.897
138,0.56,0.965,4,1,0.0472,0.0325,0.000984,0.43,0.771,113.633
139,0.77,0.664,0,1,0.211,0.215,0.000118,0.105,0.472,140.163
140,0.347,0.632,2,1,0.0381,0.539,0.00226,0.121,0.285,74.257
141,0.55,0.607,11,0,0.0449,0.000176,2.44e-06,0.114,0.685,117.581
142,0.472,0.868,11,1,0.115,0.0559,0.000939,0.331,0.641,193.911
143,0.893,0.641,1,1,0.272,0.128,8.06e-05,0.086,0.771,94.017
144,0.521,0.647,9,1,0.0295,0.0922,8.21e-05,0.123,0.326,83.963
145,0.598,0.56,0,1,0.0375,0.607,0.0432,0.196,0.221,115.01
146,0.651,0.732,2,1,0.0381,0.0164,1.58e-06,0.0925,0.638,85.023
147,0.522,0.98,2,1,0.0773,1.55e-05,0.0298,0.191,0.396,144.996
148,0.698,0.592,3,1,0.0929,0.0453,0.0,0.331,0.107,145.977
149,0.53,0.973,4,0,0.0663,6.44e-05,0.00558,0.129,0.432,105.997
150,0.626,0.659,0,1,0.0337,0.121,0.0,0.17,0.594,113.551
151,0.738,0.804,11,1,0.0621,0.332,0.0,0.279,0.949,174.943
152,0.628,0.481,1,1,0.475,0.29,0.0,0.118,0.33,108.761
153,0.537,0.839,5,1,0.0442,0.00762,0.0,0.0852,0.614,150.013
154,0.712,0.801,6,1,0.029,0.0249,0.000125,0.134,0.956,105.007
155,0.722,0.868,4,0,0.0472,0.466,0.0109,0.145,0.943,97.986
156,0.47,0.191,10,1,0.038,0.918,0.0,0.199,0.422,95.515
157,0.383,0.952,3,0,0.0484,9.91e-06,0.000881,0.178,0.278,145.001
158,0.624,0.723,1,1,0.378,0.172,0.0,0.483,0.757,84.789
159,0.137,0.879,2,1,0.0421,7e-06,0.85,0.134,0.576,181.288
160,0.646,0.431,6,1,0.0262,0.637,6.99e-06,0.113,0.292,90.034
161,0.446,0.793,5,0,0.0556,0.0434,4.14e-05,0.159,0.313,127.799
162,0.524,0.791,9,1,0.0396,0.244,0.0,0.0981,0.248,137.872
163,0.536,0.857,6,0,0.369,0.346,0.0,0.312,0.836,97.524
164,0.652,0.93,10,0,0.0616,0.0213,0.0,0.382,0.602,87.997
165,0.416,0.354,0,1,0.0263,0.731,1e-06,0.0925,0.181,80.767
166,0.579,0.571,2,1,0.169,0.735,0.931,0.131,0.603,186.698
167,0.736,0.691,8,1,0.169,0.0771,0.0,0.0422,0.18,99.954
168,0.639,0.659,8,1,0.215,0.241,8.33e-06,0.484,0.457,136.801
169,0.257,0.825,6,1,0.063,0.000422,0.812,0.124,0.223,176.255
170,0.483,0.975,1,1,0.0526,0.000225,0.166,0.128,0.301,136.019
171,0.913,0.498,2,1,0.165,0.0829,0.0369,0.0799,0.217,123.975
172,0.788,0.328,0,1,0.392,0.0207,2.53e-06,0.118,0.213,137.85
173,0.605,0.897,1,1,0.0382,0.00156,0.277,0.0682,0.258,137.974
174,0.523,0.834,6,1,0.0281,0.254,0.0,0.393,0.445,92.99
175,0.523,0.725,2,1,0.0339,0.0558,6.96e-06,0.0937,0.528,155.855
176,0.632,0.644,7,1,0.0362,0.135,0.848,0.113,0.566,139.207
177,0.657,0.421,9,1,0.412,0.352,0.000218,0.187,0.181,174.063
178,0.888,0.525,1,1,0.305,0.029,5.68e-06,0.137,0.243,133.983
179,0.749,0.699,5,0,0.0469,0.0694,0.0,0.124,0.641,123.965
180,0.492,0.922,11,0,0.0402,2.36e-05,0.0,0.0443,0.54,146.015
181,0.538,0.6,6,1,0.0489,0.0273,0.0,0.147,0.26,81.888
182,0.456,0.679,8,0,0.064,0.596,0.000573,0.129,0.107,92.026
183,0.555,0.722,11,1,0.034,0.119,0.0,0.0861,0.559,134.058
184,0.473,0.967,5,0,0.0792,0.000111,0.00259,0.101,0.453,188.001
185,0.511,0.363,4,0,0.041,0.816,0.0317,0.084,0.169,144.892
186,0.603,0.866,6,1,0.0443,0.0819,0.0,0.0521,0.543,94.057
187,0.577,0.649,7,1,0.027,0.253,5.03e-06,0.0798,0.339,130.313
188,0.635,0.324,6,0,0.0769,0.165,4.18e-06,0.108,0.0741,117.863
189,0.726,0.554,5,0,0.0917,0.0421,0.0,0.106,0.335,169.999
190,0.572,0.37,7,1,0.0402,0.0387,0.856,0.176,0.198,125.248
191,0.122,0.869,9,0,0.0864,1.69e-05,0.675,0.462,0.0626,147.406
192,0.634,0.692,1,0,0.0997,0.00586,0.000116,0.0726,0.0839,140.029
193,0.529,0.948,0,1,0.0474,0.258,9.35e-06,0.283,0.65,146.024
194,0.733,0.412,11,0,0.225,0.196,0.0,0.342,0.179,114.413
195,0.681,0.593,5,1,0.0251,0.435,0.000117,0.106,0.731,115.058
196,0.661,0.67,11,0,0.258,0.0873,2.01e-06,0.0794,0.661,148.02
197,0.482,0.332,7,0,0.0732,0.33,0.782,0.0956,0.225,83.094
198,0.267,0.988,7,1,0.0962,4.04e-05,0.00285,0.318,0.151,89.575
199,0.78,0.74,0,1,0.042,0.00554,1.33e-05,0.0979,0.214,128.002
200,0.267,0.999,1,0,0.131,0.00285,0.00257,0.104,0.0381,181.013
201,0.615,0.879,11,0,0.0469,1.52e-05,0.872,0.0773,0.637,123.025
202,0.598,0.883,11,1,0.0732,0.00617,2.37e-05,0.0648,0.894,127.961
203,0.734,0.766,1,1,0.0383,0.025,0.00138,0.108,0.6,127.986
204,0.795,0.877,6,1,0.314,0.16,0.0,0.111,0.51,100.023
205,0.472,0.805,8,1,0.086,0.0491,0.0162,0.337,0.512,94.922
206,0.707,0.789,0,1,0.0713,0.00072,0.627,0.521,0.63,125.991
207,0.286,0.399,5,0,0.0329,0.72,4.34e-05,0.0968,0.21,93.082
208,0.825,0.572,6,0,0.0864,0.0079,0.0,0.113,0.568,141.991
209,0.519,0.843,11,1,0.0431,0.214,0.000446,0.21,0.592,84.997
210,0.321,0.953,9,0,0.167,0.000253,0.715,0.0753,0.0369,104.21
211,0.164,0.974,9,1,0.282,9.14e-06,0.0178,0.191,0.257,174.832
212,0.52,0.924,7,1,0.0686,0.00121,2.31e-06,0.128,0.844,173.98
213,0.8,0.692,9,0,0.0614,0.342,1.92e-06,0.0554,0.917,112.002
214,0.277,0.394,8,1,0.0336,0.423,0.0,0.0952,0.227,86.777
215,0.479,0.545,7,1,0.0688,0.365,0.0,0.0963,0.244,74.897
216,0.571,0.307,1,0,0.0499,0.649,0.0,0.178,0.108,83.72
217,0.666,0.434,5,1,0.0691,0.987,0.949,0.0821,0.947,100.036
218,0.516,0.386,7,1,0.0332,0.056,1.93e-05,0.218,0.378,179.974
219,0.448,0.71,1,0,0.0578,0.196,0.0,0.638,0.273,104.024
220,0.598,0.252,2,1,0.0647,0.193,0.138,0.0992,0.0352,120.06
221,0.938,0.5,4,0,0.144,0.00183,0.0,0.077,0.462,140.011
222,0.427,0.396,11,1,0.0366,0.736,0.0,0.11,0.306,70.368
223,0.436,0.381,0,1,0.0425,0.948,0.0176,0.113,0.331,88.16
224,0.858,0.697,2,1,0.23,0.114,0.0,0.224,0.364,98.012
225,0.551,0.636,6,1,0.0281,0.00713,0.00203,0.217,0.153,124.996
226,0.927,0.665,11,1,0.244,0.061,0.0,0.123,0.175,127.076
227,0.175,0.00603,0,1,0.0495,0.892,0.927,0.098,0.109,96.644
228,0.728,0.674,9,1,0.0736,0.0956,0.0,0.161,0.711,145.981
229,0.581,0.291,2,0,0.0746,0.513,0.787,0.1,0.784,79.026
230,0.626,0.866,11,0,0.0408,0.00316,0.000364,0.171,0.545,132.031
231,0.684,0.823,9,0,0.0773,0.0744,0.0,0.111,0.647,91.048
232,0.334,0.977,2,1,0.134,0.000244,0.00155,0.872,0.0391,117.056
233,0.678,0.918,5,1,0.0355,0.000417,0.0,0.0744,0.769,130.028
234,0.487,0.938,4,1,0.0533,0.0721,2.63e-05,0.522,0.733,157.795
235,0.602,0.955,6,1,0.154,0.000989,0.0133,0.207,0.193,126.009
236,0.628,0.867,9,1,0.0913,0.0108,0.0,0.308,0.597,78.043
237,0.513,0.923,8,0,0.0683,0.0289,0.0,0.177,0.367,98.986
238,0.605,0.992,1,1,0.0606,0.0062,0.909,0.454,0.555,102.911
239,0.158,0.904,1,1,0.0787,8.05e-05,0.00513,0.926,0.108,154.558
240,0.523,0.212,9,1,0.034,0.809,0.857,0.107,0.323,129.251
241,0.109,0.958,11,1,0.0884,4.37e-06,0.101,0.823,0.0661,166.506
242,0.8,0.795,10,0,0.0733,0.00388,0.713,0.105,0.599,123.01
243,0.551,0.558,8,1,0.0431,0.483,0.675,0.102,0.168,146.039
244,0.439,0.447,10,0,0.0436,0.111,0.0,0.303,0.11,121.48
245,0.506,0.886,11,1,0.0655,0.0916,0.0,0.0734,0.595,143.935
246,0.457,0.463,3,1,0.0421,0.645,6.39e-05,0.108,0.117,119.827
247,0.198,0.952,2,1,0.132,0.0,0.816,0.057,0.126,103.453
248,0.546,0.245,2,1,0.0448,0.988,0.829,0.105,0.538,80.894
249,0.717,0.582,11,1,0.0579,0.0242,0.88,0.117,0.275,85.978
250,0.66,0.816,0,0,0.0344,0.00976,1.87e-05,0.59,0.66,127.97
251,0.738,0.547,5,1,0.0468,0.911,0.89,0.112,0.22,110.015
252,0.554,0.621,11,1,0.0269,0.162,2.56e-05,0.155,0.151,155.817
253,0.807,0.715,8,1,0.0998,0.301,0.0,0.0936,0.829,118.965
254,0.494,0.0453,5,1,0.0378,0.995,0.927,0.112,0.103,80.743
255,0.726,0.535,7,0,0.0476,0.0533,1.38e-05,0.0984,0.375,98.067
256,0.768,0.275,11,0,0.0538,0.000377,0.825,0.0457,0.335,124.994
257,0.555,0.933,9,1,0.113,0.0026,0.0,0.122,0.421,144.874
258,0.737,0.946,4,0,0.0484,0.00121,0.803,0.872,0.0382,129.995
259,0.557,0.833,7,1,0.073,0.00867,0.0,0.0621,0.449,125.909
260,0.407,0.974,2,1,0.0596,3.07e-06,0.351,0.183,0.429,94.955
261,0.614,0.66,0,1,0.0441,0.19,0.0,0.211,0.452,145.01
262,0.745,0.86,9,0,0.0531,0.00817,0.841,0.112,0.082,134.301
263,0.477,0.917,2,1,0.0837,0.0139,0.0,0.0756,0.271,160.044
264,0.885,0.801,11,0,0.0882,0.225,1.65e-06,0.0733,0.466,95.011
265,0.749,0.631,7,1,0.05,0.141,0.0,0.111,0.529,87.979
266,0.833,0.434,2,1,0.431,0.0102,0.0219,0.165,0.281,150.062
267,0.592,0.584,7,1,0.0305,0.245,0.0,0.0862,0.371,160.048
268,0.175,0.979,2,1,0.0897,1.87e-05,0.705,0.219,0.0509,120.087
269,0.321,0.147,1,0,0.0365,0.925,0.00204,0.107,0.223,173.809
270,0.358,0.818,6,1,0.0329,0.000287,0.18,0.094,0.534,98.168
271,0.532,0.883,0,0,0.0352,0.0951,0.0,0.304,0.7,99.995
272,0.72,0.925,4,0,0.0511,0.0276,0.000238,0.14,0.781,127.004
273,0.292,0.374,10,0,0.0332,0.463,0.000292,0.357,0.247,119.784
274,0.704,0.767,6,1,0.0398,0.0524,0.000469,0.361,0.889,120.035
275,0.572,0.729,9,1,0.379,0.00893,0.0,0.0786,0.223,156.737
276,0.834,0.372,1,1,0.0358,0.799,0.0,0.275,0.976,96.628
277,0.544,0.87,8,1,0.26,0.0015,2.8e-06,0.246,0.502,129.984
278,0.548,0.816,0,1,0.0465,0.122,0.0,0.335,0.557,95.39
279,0.78,0.618,10,0,0.0559,0.00981,0.189,0.239,0.962,100.005
280,0.503,0.843,10,0,0.316,0.0487,0.0,0.344,0.778,128.63
281,0.298,0.855,2,1,0.0465,1.08e-06,0.904,0.105,0.322,149.83
282,0.648,0.692,2,1,0.0426,0.243,4.44e-06,0.398,0.719,124.952
283,0.708,0.578,6,1,0.0631,0.0095,0.0,0.353,0.696,133.03
284,0.774,0.756,1,1,0.0389,0.0423,0.0,0.305,0.931,144.032
285,0.67,0.838,0,1,0.0362,0.0604,0.000611,0.159,0.717,104.998
286,0.78,0.68,4,1,0.0305,0.141,1.2e-05,0.138,0.594,118.026
287,0.703,0.757,1,1,0.05,0.617,0.0,0.106,0.696,82.008
288,0.458,0.806,11,0,0.405,0.0178,0.0,0.0872,0.365,98.422
289,0.48,0.894,2,1,0.0272,3.65e-05,0.000211,0.335,0.369,94.086
290,0.42,0.99,2,1,0.0695,0.000121,0.92,0.909,0.103,118.161
291,0.592,0.637,11,1,0.0992,0.562,0.0,0.13,0.565,159.701
292,0.513,0.568,7,0,0.0287,0.564,1.44e-06,0.0998,0.162,120.154
293,0.139,0.0403,0,0,0.0666,0.99,0.937,0.0921,0.0383,87.34
294,0.708,0.755,6,0,0.0351,0.00635,0.0,0.226,0.229,123.967
295,0.615,0.993,5,0,0.094,0.000462,0.348,0.181,0.344,127.996
296,0.687,0.899,7,0,0.0474,0.0162,0.312,0.198,0.257,126.026
297,0.571,0.568,1,0,0.0703,0.218,0.0021,0.512,0.109,86.986
298,0.48,0.837,11,0,0.24,0.103,0.0,0.128,0.652,91.916
299,0.704,0.546,9,1,0.0412,0.0276,1.12e-05,0.16,0.176,144.058
300,0.349,0.966,1,0,0.0856,0.000163,0.000139,0.0695,0.117,99.686
301,0.603,0.946,7,1,0.0463,0.0558,6.51e-05,0.114,0.912,144.019
302,0.141,0.978,7,1,0.0636,0.312,0.0369,0.302,0.0612,158.285
303,0.635,0.847,7,1,0.447,0.533,0.0,0.154,0.568,166.072
304,0.525,0.576,2,1,0.104,0.686,0.0,0.67,0.463,130.683
305,0.596,0.851,5,0,0.121,0.0358,3.19e-05,0.365,0.612,202.049
306,0.828,0.609,1,1,0.0694,0.0916,1.21e-06,0.291,0.707,109.725
307,0.792,0.703,0,1,0.0368,0.195,0.0,0.072,0.634,105.995
308,0.763,0.875,9,0,0.0262,0.024,5.41e-06,0.599,0.8,123.013
309,0.353,0.902,1,1,0.0879,0.000101,0.0,0.148,0.118,169.939
310,0.453,0.376,2,1,0.0282,0.361,3.11e-05,0.438,0.321,101.19
311,0.512,0.734,8,0,0.438,0.431,0.0,0.226,0.168,93.995
312,0.565,0.862,4,1,0.0326,0.0014,0.0,0.105,0.647,122.994
313,0.965,0.414,1,1,0.0713,0.189,0.0,0.0767,0.728,121.032
314,0.764,0.528,5,0,0.0588,0.468,0.0,0.0811,0.422,123.936
315,0.525,0.943,2,1,0.0959,0.00325,0.761,0.962,0.544,103.327
316,0.672,0.643,2,1,0.0285,0.00647,0.000203,0.0765,0.525,95.018
317,0.397,0.725,7,1,0.043,0.00266,0.0,0.208,0.358,128.861
318,0.434,0.868,7,1,0.0603,0.00407,1.98e-06,0.0919,0.204,161.886
319,0.646,0.899,6,1,0.298,0.0337,0.0,0.232,0.685,164.119
320,0.323,0.405,10,0,0.0413,0.849,0.000544,0.138,0.274,145.104
321,0.812,0.479,8,1,0.0429,0.0485,0.0,0.102,0.0873,95.505
322,0.785,0.222,8,1,0.0418,0.86,0.84,0.106,0.327,139.885
323,0.734,0.892,2,1,0.125,0.0648,0.0,0.58,0.605,138.031
324,0.708,0.52,7,1,0.0741,0.004,0.851,0.106,0.31,110.142
325,0.645,0.877,5,0,0.113,0.294,0.0,0.0759,0.861,82.324
326,0.584,0.789,1,1,0.151,0.00252,0.00961,0.0907,0.729,126.938
327,0.565,0.855,5,1,0.0557,0.0445,0.0,0.32,0.852,74.98
328,0.136,0.929,2,1,0.0703,3.5e-06,0.769,0.193,0.134,199.627
329,0.383,0.125,10,1,0.0315,0.987,0.929,0.112,0.369,80.185
330,0.463,0.0904,1,0,0.0459,0.995,0.944,0.0929,0.122,119.337
331,0.589,0.882,6,1,0.035,0.0813,0.0,0.146,0.793,129.915
332,0.581,0.52,4,1,0.0298,0.383,0.0,0.322,0.643,79.565
333,0.846,0.77,9,0,0.0692,0.162,0.0,0.205,0.896,127.362
334,0.571,0.646,5,1,0.0412,0.105,0.0,0.0615,0.761,147.921
335,0.69,0.622,5,0,0.0622,0.253,0.0,0.116,0.544,102.04
336,0.726,0.775,2,1,0.269,0.217,0.0,0.212,0.777,127.943
337,0.576,0.602,0,0,0.315,0.248,0.000609,0.144,0.56,141.345
338,0.624,0.554,2,1,0.0225,0.191,0.00131,0.299,0.311,97.031
339,0.381,0.839,4,1,0.0982,0.00925,0.29,0.16,0.426,112.79
340,0.598,0.532,3,0,0.0295,0.0668,3.22e-06,0.0617,0.261,74.963
341,0.734,0.746,11,1,0.0762,0.00135,0.0,0.178,0.539,94.033
342,0.768,0.807,2,0,0.106,0.053,2.99e-06,0.214,0.575,112.001
