,target
1231,1
1232,1
1233,0
1234,1
1235,0
1236,0
1237,0
1238,0
1239,1
1240,1
1241,1
1242,0
1243,0
1244,0
1245,1
1246,1
1247,1
1248,1
1249,0
1250,1
1251,0
1252,0
1253,0
1254,1
1255,0
1256,0
1257,0
1258,1
1259,0
1260,0
1261,1
1262,0
1263,1
1264,1
1265,1
1266,1
1267,1
1268,0
1269,1
1270,1
1271,1
1272,0
1273,0
1274,1
1275,0
1276,1
1277,1
1278,0
1279,0
1280,0
1281,1
1282,0
1283,0
1284,0
1285,1
1286,0
1287,1
1288,1
1289,0
1290,1
1291,1
1292,1
1293,0
1294,1
1295,0
1296,0
1297,0
1298,0
1299,0
1300,0
1301,0
1302,0
1303,0
1304,0
1305,0
1306,1
1307,1
1308,0
1309,1
1310,0
1311,1
1312,0
1313,1
1314,1
1315,0
1316,0
1317,1
1318,0
1319,1
1320,1
1321,1
1322,0
1323,0
1324,0
1325,0
1326,0
1327,1
1328,1
1329,0
1330,0
1331,0
1332,0
1333,0
1334,0
1335,0
1336,1
1337,0
1338,1
1339,0
1340,1
1341,0
1342,0
1343,0
1344,0
1345,0
1346,1
1347,0
1348,1
1349,1
1350,0
1351,0
1352,0
1353,1
1354,1
1355,0
1356,1
1357,0
1358,0
1359,1
1360,0
1361,0
1362,0
1363,0
1364,1
1365,1
1366,0
1367,1
1368,0
1369,0
1370,0
1371,0
1372,1
1373,1
1374,1
1375,1
1376,0
1377,0
1378,1
1379,1
1380,1
1381,0
1382,1
1383,1
1384,1
1385,0
1386,1
1387,1
1388,0
1389,1
1390,1
1391,1
1392,0
1393,0
1394,0
1395,1
1396,0
1397,1
1398,0
1399,0
1400,1
1401,0
1402,0
1403,1
1404,1
1405,0
1406,1
1407,0
1408,1
1409,1
1410,1
1411,1
1412,0
1413,1
1414,1
1415,1
1416,1
1417,0
1418,1
1419,1
1420,1
1421,0
1422,1
1423,0
1424,0
1425,0
1426,1
1427,0
1428,1
1429,0
1430,0
1431,1
1432,1
1433,1
1434,0
1435,0
1436,0
1437,1
1438,0
1439,1
1440,1
1441,0
1442,0
1443,0
1444,0
1445,1
1446,0
1447,0
1448,0
1449,1
1450,0
1451,1
1452,1
1453,0
1454,0
1455,1
1456,0
1457,1
1458,0
1459,0
1460,1
1461,1
1462,0
1463,1
1464,0
1465,0
1466,1
1467,1
1468,1
1469,0
1470,1
1471,1
1472,1
1473,0
1474,0
1475,1
1476,0
1477,1
1478,1
1479,0
1480,1
1481,1
1482,0
1483,1
1484,1
1485,0
1486,1
1487,0
1488,1
1489,1
1490,1
1491,1
1492,1
1493,1
1494,0
1495,0
1496,1
1497,1
1498,0
1499,1
1500,0
1501,0
1502,0
1503,0
1504,1
1505,0
1506,0
1507,1
1508,1
1509,0
1510,1
1511,0
1512,0
1513,1
1514,0
1515,1
1516,0
1517,1
1518,1
1519,1
1520,1
1521,1
1522,0
1523,0
1524,0
1525,1
1526,0
1527,1
1528,0
1529,1
1530,0
1531,0
1532,0
1533,1
1534,0
1535,0
1536,1
1537,0
1538,1
1539,0
1540,1
1541,1
1542,1
1543,1
1544,0
1545,0
1546,1
1547,0
1548,0
1549,0
1550,1
1551,1
1552,1
1553,1
1554,0
1555,1
1556,1
1557,1
1558,1
1559,0
1560,1
1561,0
1562,0
1563,0
1564,1
1565,1
1566,1
1567,1
1568,0
1569,0
1570,1
1571,0
1572,0
1573,0
1574,0
1575,1
1576,1
1577,1
1578,0
1579,0
1580,0
1581,1
1582,1
1583,1
1584,1
1585,0
1586,0
1587,0
1588,0
1589,1
1590,0
1591,1
1592,0
1593,0
1594,1
1595,0
1596,0
1597,0
1598,1
1599,1
1600,1
1601,1
1602,0
1603,0
1604,0
1605,0
1606,1
1607,1
1608,0
1609,1
1610,1
1611,0
1612,0
1613,1
1614,0
1615,1
1616,0
1617,1
1618,0
1619,0
1620,0
1621,1
1622,1
1623,1
1624,0
1625,1
1626,1
1627,0
1628,1
1629,1
1630,0
1631,1
1632,0
1633,1
1634,1
1635,1
1636,1
1637,0
1638,1
1639,1
1640,1
1641,0
1642,0
1643,0
1644,1
1645,0
1646,0
1647,1
1648,0
1649,0
1650,0
1651,0
1652,0
1653,1
1654,1
1655,1
1656,0
1657,0
1658,0
1659,0
1660,1
1661,0
1662,1
1663,0
1664,0
1665,1
1666,1
1667,0
1668,0
1669,1
1670,1
1671,0
1672,1
1673,0
1674,0
1675,0
1676,0
1677,0
1678,0
1679,0
1680,1
1681,1
1682,1
1683,1
1684,0
1685,1
1686,0
1687,1
1688,1
1689,1
1690,0
1691,1
1692,1
1693,1
1694,1
1695,0
1696,0
1697,1
1698,0
1699,0
1700,0
1701,0
1702,0
1703,0
1704,0
1705,1
1706,1
1707,0
1708,0
1709,0
1710,0
1711,0
1712,0
1713,0
1714,0
1715,1
1716,0
1717,1
1718,0
1719,0
1720,1
1721,0
1722,0
1723,0
1724,0
1725,1
1726,1
1727,0
1728,0
1729,0
1730,1
1731,1
1732,0
1733,0
1734,0
1735,0
1736,1
1737,0
1738,1
1739,1
1740,1
1741,0
1742,1
1743,0
1744,1
1745,0
1746,0
1747,0
1748,0
1749,1
1750,1
1751,0
1752,1
1753,1
1754,1
1755,0
1756,0
1757,1
1758,1
1759,1
1760,1
1761,0
1762,1
1763,1
1764,0
1765,0
1766,1
1767,0
1768,1
1769,1
1770,1
1771,0
1772,1
1773,0
1774,1
1775,0
1776,0
1777,1
1778,1
1779,0
1780,0
1781,1
1782,0
1783,0
1784,0
1785,1
1786,1
1787,1
1788,0
1789,1
1790,0
1791,0
1792,1
1793,0
1794,0
1795,1
1796,1
1797,0
1798,1
1799,1
1800,0
1801,0
1802,1
1803,0
1804,1
1805,0
1806,0
1807,1
1808,1
1809,1
1810,0
1811,1
1812,0
1813,0
1814,1
1815,1
1816,0
1817,1
1818,1
1819,1
1820,1
1821,1
1822,1
1823,0
1824,1
1825,1
1826,1
1827,1
1828,1
1829,0
1830,0
1831,0
1832,1
1833,1
1834,0
1835,0
1836,1
1837,0
1838,0
1839,0
1840,0
1841,1
1842,1
1843,1
1844,1
1845,1
1846,1
1847,1
1848,1
1849,1
1850,0
1851,1
1852,0
1853,1
1854,1
1855,1
1856,0
1857,0
1858,1
1859,1
1860,1
1861,1
1862,1
1863,1
1864,0
1865,1
1866,1
1867,0
1868,1
1869,1
1870,0
1871,0
1872,1
1873,0
1874,1
1875,1
1876,1
1877,1
1878,0
1879,1
1880,0
1881,1
1882,1
1883,0
1884,0
1885,1
1886,1
1887,1
1888,1
1889,0
1890,1
1891,0
1892,0
1893,1
1894,1
1895,1
1896,1
1897,1
1898,0
1899,0
1900,0
1901,0
1902,1
1903,0
1904,1
1905,1
1906,1
1907,1
1908,1
1909,0
1910,0
1911,0
1912,1
1913,1
1914,1
1915,0
1916,1
1917,0
1918,1
1919,1
1920,1
1921,0
1922,0
1923,0
1924,1
1925,1
1926,0
1927,1
1928,1
1929,1
1930,1
1931,0
1932,1
1933,1
1934,1
1935,1
1936,0
1937,1
1938,1
1939,0
1940,1
1941,1
1942,1
1943,1
1944,0
1945,0
1946,0
1947,0
1948,1
1949,0
1950,0
1951,0
1952,0
1953,0
1954,1
1955,0
1956,0
1957,1
1958,1
1959,0
1960,0
1961,0
1962,1
1963,1
1964,1
1965,0
1966,0
1967,1
1968,1
1969,1
1970,1
1971,1
1972,0
1973,0
1974,1
1975,1
1976,0
1977,1
1978,0
1979,1
1980,0
1981,1
1982,0
1983,0
1984,0
1985,1
1986,1
1987,1
1988,1
1989,1
1990,1
1991,1
1992,0
1993,0
1994,1
1995,0
1996,1
1997,0
1998,0
1999,1
2000,1
2001,1
2002,0
2003,0
2004,1
2005,0
2006,1
2007,0
2008,1
2009,1
2010,1
2011,1
2012,0
2013,0
2014,0
2015,1
2016,1
2017,1
2018,1
2019,1
2020,1
2021,0
2022,0
2023,0
2024,0
2025,1
2026,0
2027,1
2028,0
2029,1
2030,0
2031,0
2032,0
2033,0
2034,1
2035,1
2036,1
2037,0
2038,0
2039,0
2040,0
2041,1
2042,1
2043,1
2044,0
2045,0
2046,1
2047,0
2048,1
2049,0
2050,1
2051,1
2052,0
2053,1
2054,1
2055,0
2056,0
2057,0
2058,1
2059,1
2060,1
2061,1
2062,1
2063,0
2064,0
2065,0
2066,1
2067,0
2068,1
2069,1
2070,1
2071,1
2072,0
2073,1
2074,1
2075,0
2076,1
2077,1
2078,1
2079,1
2080,1
2081,0
2082,1
2083,1
2084,0
2085,1
2086,0
2087,0
2088,1
2089,1
2090,0
2091,1
2092,1
2093,0
2094,0
2095,0
2096,0
2097,0
2098,1
2099,1
2100,0
2101,0
2102,1
2103,0
2104,1
2105,1
2106,1
2107,1
2108,1
2109,0
2110,1
2111,0
2112,0
2113,1
2114,1
2115,1
2116,0
2117,1
2118,1
2119,1
2120,0
2121,0
2122,0
2123,0
2124,0
2125,1
2126,1
2127,0
2128,0
2129,1
2130,1
2131,1
2132,0
2133,1
2134,1
2135,1
2136,0
2137,0
2138,0
2139,1
2140,0
2141,0
2142,1
2143,1
2144,0
2145,1
2146,0
2147,0
2148,0
2149,1
2150,0
2151,0
2152,0
2153,1
2154,0
2155,1
2156,1
2157,0
2158,1
2159,1
2160,0
2161,1
2162,1
2163,1
2164,0
2165,1
2166,1
2167,1
2168,0
2169,0
2170,0
2171,1
2172,0
2173,1
2174,0
2175,0
2176,0
2177,0
2178,1
2179,0
2180,0
2181,0
2182,1
2183,0
2184,0
2185,0
2186,0
2187,0
2188,1
2189,1
2190,0
2191,0
2192,1
2193,0
2194,1
2195,0
2196,0
2197,0
2198,1
2199,1
2200,0
2201,1
2202,1
2203,1
2204,1
2205,1
2206,0
2207,0
2208,1
2209,0
2210,1
2211,0
2212,0
2213,1
2214,1
2215,0
2216,1
2217,0
2218,1
2219,0
2220,1
2221,1
2222,1
2223,0
2224,1
2225,1
2226,0
2227,0
2228,0
2229,0
2230,1
2231,0
2232,0
2233,0
2234,0
2235,1
2236,0
2237,0
2238,0
2239,1
2240,0
2241,1
2242,0
2243,0
2244,1
2245,0
2246,0
2247,1
2248,1
2249,0
2250,1
2251,1
2252,1
2253,0
2254,0
2255,1
2256,0
2257,0
2258,0
2259,1
2260,1
2261,0
2262,0
2263,1
2264,1
2265,0
2266,0
2267,1
2268,0
2269,1
2270,1
2271,0
2272,1
2273,1
2274,0
2275,1
2276,1
2277,1
2278,1
2279,1
2280,0
2281,0
2282,0
2283,1
2284,0
2285,1
2286,1
2287,0
2288,1
2289,0
2290,0
2291,0
2292,1
2293,0
2294,1
2295,1
2296,1
2297,1
2298,0
2299,1
2300,0
2301,1
2302,0
2303,1
2304,1
2305,0
2306,1
2307,1
2308,0
2309,1
2310,1
2311,1
2312,0
2313,1
2314,0
2315,0
2316,0
2317,1
2318,0
2319,1
2320,0
2321,0
2322,0
2323,0
2324,0
2325,1
2326,0
2327,0
2328,1
2329,0
2330,1
2331,0
2332,0
2333,0
2334,0
2335,1
2336,1
2337,1
2338,0
2339,0
2340,0
2341,0
2342,0
2343,0
2344,0
2345,0
2346,1
2347,0
2348,0
2349,0
2350,1
2351,1
2352,0
2353,1
2354,1
2355,1
2356,1
2357,1
2358,0
2359,0
2360,0
2361,0
2362,1
2363,0
2364,0
2365,1
2366,1
2367,1
2368,1
2369,0
2370,0
2371,0
2372,0
2373,0
2374,1
2375,0
2376,0
2377,0
2378,1
2379,1
2380,1
2381,1
2382,1
2383,0
2384,1
2385,1
2386,0
2387,0
2388,0
2389,1
2390,1
2391,0
2392,0
2393,0
2394,0
2395,1
2396,1
2397,1
2398,1
2399,0
2400,0
2401,1
2402,1
2403,0
2404,0
2405,0
2406,1
2407,1
2408,1
2409,1
2410,1
2411,0
2412,1
2413,1
2414,0
2415,0
2416,1
2417,1
2418,0
2419,0
2420,0
2421,0
2422,0
2423,1
2424,0
2425,1
2426,0
2427,1
2428,1
2429,0
2430,0
2431,1
2432,1
2433,1
2434,0
2435,0
2436,0
2437,0
2438,0
2439,0
2440,1
2441,1
2442,1
2443,0
2444,0
2445,1
2446,1
2447,0
2448,1
2449,0
2450,1
2451,0
2452,0
2453,0
2454,0
2455,1
2456,0
2457,0
2458,0
2459,0
2460,1
2461,0
2462,0
2463,1
2464,0
2465,1
2466,1
2467,1
2468,1
2469,0
2470,1
2471,0
2472,0
2473,0
2474,1
2475,0
2476,1
2477,1
2478,1
2479,0
2480,1
2481,1
2482,0
2483,1
2484,1
2485,0
2486,0
2487,0
2488,0
2489,1
2490,0
2491,1
2492,1
2493,0
2494,0
2495,1
2496,1
2497,0
2498,0
2499,0
2500,1
2501,1
2502,1
2503,0
2504,1
2505,0
2506,1
2507,0
2508,0
2509,1
2510,0
2511,0
2512,1
2513,0
2514,1
2515,1
2516,1
2517,1
2518,1
2519,0
2520,0
2521,1
2522,0
2523,0
2524,1
2525,1
2526,1
2527,0
2528,0
2529,1
2530,1
2531,1
2532,0
2533,0
2534,1
2535,0
2536,1
2537,1
2538,1
2539,1
2540,1
2541,0
2542,1
2543,1
2544,0
2545,1
2546,0
2547,0
2548,1
2549,1
2550,0
2551,1
2552,0
2553,0
2554,1
2555,1
2556,1
2557,0
2558,1
2559,0
2560,1
2561,1
2562,1
2563,1
2564,1
2565,1
2566,0
2567,0
2568,0
2569,0
2570,1
2571,1
2572,0
2573,1
2574,0
2575,1
2576,1
2577,0
2578,0
2579,0
2580,1
2581,1
2582,1
2583,0
2584,1
2585,1
2586,0
2587,0
2588,1
2589,1
2590,1
2591,1
2592,0
2593,0
2594,1
2595,0
2596,1
2597,0
2598,0
2599,1
2600,0
2601,0
2602,0
2603,0
2604,1
2605,0
2606,1
2607,1
2608,1
2609,0
2610,1
2611,1
2612,0
2613,1
2614,1
2615,0
2616,0
2617,1
2618,1
2619,1
2620,0
2621,0
2622,0
2623,1
2624,1
2625,1
2626,1
2627,0
2628,1
2629,0
2630,1
2631,1
2632,0
2633,0
2634,0
2635,1
2636,1
2637,1
2638,1
2639,0
2640,1
2641,1
2642,0
2643,1
2644,0
2645,0
2646,0
2647,1
2648,0
2649,0
2650,1
2651,1
2652,1
2653,0
2654,0
2655,1
2656,1
2657,1
2658,0
2659,1
2660,1
2661,1
2662,1
2663,0
2664,0
2665,0
2666,0
2667,0
2668,0
2669,0
2670,1
2671,0
2672,0
2673,0
2674,1
2675,0
2676,1
2677,0
2678,1
2679,0
2680,0
2681,0
2682,0
2683,1
2684,1
2685,0
2686,1
2687,0
2688,0
2689,1
2690,1
2691,1
2692,0
2693,0
2694,0
2695,0
2696,1
2697,0
2698,0
2699,1
2700,0
2701,1
2702,0
2703,0
2704,0
2705,1
2706,1
2707,0
2708,0
2709,0
2710,1
2711,1
2712,0
2713,0
2714,1
2715,0
2716,0
2717,1
2718,1
2719,1
2720,0
2721,1
2722,0
2723,0
2724,1
2725,1
2726,1
2727,0
2728,0
2729,1
2730,1
2731,1
2732,1
2733,1
2734,0
2735,0
2736,0
2737,1
2738,1
2739,1
2740,0
2741,0
2742,0
2743,1
2744,0
2745,1
2746,0
2747,0
2748,1
2749,0
2750,0
2751,1
2752,0
2753,1
2754,1
2755,1
2756,0
2757,1
2758,1
2759,0
2760,0
2761,0
2762,0
2763,1
2764,0
2765,0
2766,0
2767,0
2768,1
2769,0
2770,0
2771,0
2772,0
2773,1
2774,0
2775,1
2776,0
2777,1
2778,1
2779,1
2780,0
2781,1
2782,0
2783,0
2784,1
2785,1
2786,1
2787,0
2788,0
2789,0
2790,1
2791,0
2792,0
2793,1
2794,0
2795,1
2796,1
2797,0
2798,0
2799,1
2800,0
2801,1
2802,0
2803,1
2804,1
2805,0
2806,0
2807,1
2808,1
2809,1
2810,1
2811,0
2812,1
2813,1
2814,0
2815,1
2816,0
2817,0
2818,1
2819,0
2820,1
2821,0
2822,0
2823,1
2824,1
2825,1
2826,1
2827,1
2828,1
2829,1
2830,1
2831,0
2832,0
2833,0
2834,0
2835,0
2836,1
2837,0
2838,1
2839,1
2840,1
2841,1
2842,0
2843,1
2844,1
2845,0
2846,1
2847,1
2848,0
2849,1
2850,1
2851,1
2852,0
2853,0
2854,1
2855,0
2856,0
2857,0
2858,1
2859,1
2860,0
2861,0
2862,1
2863,1
2864,0
2865,0
2866,0
2867,1
2868,1
2869,1
2870,1
2871,0
2872,0
2873,1
2874,1
2875,1
2876,1
2877,1
2878,1
2879,1
2880,0
2881,0
2882,0
2883,0
2884,0
2885,0
2886,0
2887,1
2888,0
2889,1
2890,1
2891,1
2892,0
2893,0
2894,0
2895,0
2896,1
2897,0
2898,0
2899,1
2900,1
2901,1
2902,0
2903,1
2904,0
2905,0
2906,1
2907,1
2908,1
2909,0
2910,1
2911,0
2912,0
2913,1
2914,0
2915,1
2916,0
2917,0
2918,1
2919,0
2920,1
2921,1
2922,1
2923,0
2924,0
2925,0
2926,1
2927,0
2928,0
2929,0
2930,0
2931,0
2932,0
2933,0
2934,0
2935,0
2936,0
2937,0
2938,1
2939,0
2940,0
2941,0
2942,1
2943,0
2944,0
2945,0
2946,0
2947,1
2948,0
2949,1
2950,1
2951,1
2952,0
2953,1
2954,1
2955,0
2956,1
2957,1
2958,0
2959,0
2960,1
2961,0
2962,1
2963,0
2964,1
2965,1
2966,1
2967,0
2968,1
2969,1
2970,1
2971,0
2972,0
2973,1
2974,0
2975,1
2976,0
2977,0
2978,0
2979,1
2980,0
2981,0
2982,0
2983,1
2984,0
2985,0
2986,1
2987,1
2988,0
2989,1
2990,0
2991,0
2992,1
2993,1
2994,0
2995,0
2996,1
2997,0
